SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude,LocationType
20681,02:58.0,69.83,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20681,02:58.0,69.83,GUFEW040,Daudpur,26.740212,83.374497,Nala
20680,47:58.0,70.25,GUFEW040,Daudpur,26.740212,83.374497,Nala
20680,47:58.0,70.25,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20679,32:58.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20679,32:58.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20678,17:58.0,69.82,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20678,17:58.0,69.82,GUFEW040,Daudpur,26.740212,83.374497,Nala
20677,15:59.0,18.46,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20676,15:59.0,65.43,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20676,15:59.0,65.43,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20675,02:58.0,70.31,GUFEW040,Daudpur,26.740212,83.374497,Nala
20675,02:58.0,70.31,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20674,47:58.0,70.01,GUFEW040,Daudpur,26.740212,83.374497,Nala
20674,47:58.0,70.01,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20673,32:58.0,70.03,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20673,32:58.0,70.03,GUFEW040,Daudpur,26.740212,83.374497,Nala
20672,17:58.0,70.12,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20672,17:58.0,70.12,GUFEW040,Daudpur,26.740212,83.374497,Nala
20671,02:58.0,70.01,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20671,02:58.0,70.01,GUFEW040,Daudpur,26.740212,83.374497,Nala
20670,00:59.0,18.55,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20669,00:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20669,00:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20668,47:58.0,70.32,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20668,47:58.0,70.32,GUFEW040,Daudpur,26.740212,83.374497,Nala
20667,32:58.0,69.84,GUFEW040,Daudpur,26.740212,83.374497,Nala
20667,32:58.0,69.84,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20666,17:58.0,69.71,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20666,17:58.0,69.71,GUFEW040,Daudpur,26.740212,83.374497,Nala
20665,02:58.0,70.23,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20665,02:58.0,70.23,GUFEW040,Daudpur,26.740212,83.374497,Nala
20664,47:58.0,69.67,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20664,47:58.0,69.67,GUFEW040,Daudpur,26.740212,83.374497,Nala
20663,45:59.0,18.21,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20662,45:59.0,64.77,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20662,45:59.0,64.77,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20661,32:58.0,70.3,GUFEW040,Daudpur,26.740212,83.374497,Nala
20661,32:58.0,70.3,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20660,17:58.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20660,17:58.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20659,02:58.0,70.16,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20659,02:58.0,70.16,GUFEW040,Daudpur,26.740212,83.374497,Nala
20658,47:58.0,70.17,GUFEW040,Daudpur,26.740212,83.374497,Nala
20658,47:58.0,70.17,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20657,32:58.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20657,32:58.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20656,30:59.0,18.9,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20655,30:59.0,64.56,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20655,30:59.0,64.56,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20654,17:58.0,69.98,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20654,17:58.0,69.98,GUFEW040,Daudpur,26.740212,83.374497,Nala
20653,02:58.0,70.18,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20653,02:58.0,70.18,GUFEW040,Daudpur,26.740212,83.374497,Nala
20652,47:58.0,69.93,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20652,47:58.0,69.93,GUFEW040,Daudpur,26.740212,83.374497,Nala
20651,32:58.0,69.95,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20651,32:58.0,69.95,GUFEW040,Daudpur,26.740212,83.374497,Nala
20650,17:58.0,70.13,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20650,17:58.0,70.13,GUFEW040,Daudpur,26.740212,83.374497,Nala
20649,15:58.0,17.47,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20648,15:58.0,64.86,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20648,15:58.0,64.86,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20647,02:58.0,70.3,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20647,02:58.0,70.3,GUFEW040,Daudpur,26.740212,83.374497,Nala
20646,47:58.0,69.82,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20646,47:58.0,69.82,GUFEW040,Daudpur,26.740212,83.374497,Nala
20645,32:58.0,70.28,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20645,32:58.0,70.28,GUFEW040,Daudpur,26.740212,83.374497,Nala
20644,17:58.0,69.95,GUFEW040,Daudpur,26.740212,83.374497,Nala
20644,17:58.0,69.95,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20643,02:58.0,69.7,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20643,02:58.0,69.7,GUFEW040,Daudpur,26.740212,83.374497,Nala
20642,00:58.0,17.92,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20641,00:58.0,64.66,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20641,00:58.0,64.66,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20640,47:58.0,70,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20640,47:58.0,70,GUFEW040,Daudpur,26.740212,83.374497,Nala
20639,32:58.0,69.74,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20639,32:58.0,69.74,GUFEW040,Daudpur,26.740212,83.374497,Nala
20638,17:58.0,69.85,GUFEW040,Daudpur,26.740212,83.374497,Nala
20638,17:58.0,69.85,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20637,02:58.0,69.98,GUFEW040,Daudpur,26.740212,83.374497,Nala
20637,02:58.0,69.98,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20636,47:58.0,69.66,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20636,47:58.0,69.66,GUFEW040,Daudpur,26.740212,83.374497,Nala
20635,45:58.0,18.7,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20634,45:58.0,65.01,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20634,45:58.0,65.01,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20633,32:58.0,69.95,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20633,32:58.0,69.95,GUFEW040,Daudpur,26.740212,83.374497,Nala
20632,17:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20632,17:58.0,70.02,GUFEW040,Daudpur,26.740212,83.374497,Nala
20631,02:58.0,69.67,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20631,02:58.0,69.67,GUFEW040,Daudpur,26.740212,83.374497,Nala
20630,47:58.0,69.95,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20630,47:58.0,69.95,GUFEW040,Daudpur,26.740212,83.374497,Nala
20629,32:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20629,32:58.0,70.02,GUFEW040,Daudpur,26.740212,83.374497,Nala
20628,30:58.0,18.33,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20627,30:58.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20627,30:58.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20626,17:58.0,70.16,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20626,17:58.0,70.16,GUFEW040,Daudpur,26.740212,83.374497,Nala
20625,02:58.0,69.82,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20625,02:58.0,69.82,GUFEW040,Daudpur,26.740212,83.374497,Nala
20624,47:58.0,69.85,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20624,47:58.0,69.85,GUFEW040,Daudpur,26.740212,83.374497,Nala
20623,32:58.0,70.01,GUFEW040,Daudpur,26.740212,83.374497,Nala
20623,32:58.0,70.01,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20622,17:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20622,17:58.0,70.02,GUFEW040,Daudpur,26.740212,83.374497,Nala
20621,15:58.0,18.95,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20620,15:58.0,65.11,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20620,15:58.0,65.11,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20619,02:58.0,69.81,GUFEW040,Daudpur,26.740212,83.374497,Nala
20619,02:58.0,69.81,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20618,47:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20618,47:58.0,70.02,GUFEW040,Daudpur,26.740212,83.374497,Nala
20617,32:58.0,69.83,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20617,32:58.0,69.83,GUFEW040,Daudpur,26.740212,83.374497,Nala
20616,17:58.0,69.99,GUFEW040,Daudpur,26.740212,83.374497,Nala
20616,17:58.0,69.99,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20615,02:58.0,69.8,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20615,02:58.0,69.8,GUFEW040,Daudpur,26.740212,83.374497,Nala
20614,00:58.0,19.48,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20613,00:58.0,64.84,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20613,00:58.0,64.84,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20612,47:58.0,69.97,GUFEW040,Daudpur,26.740212,83.374497,Nala
20612,47:58.0,69.97,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20611,32:58.0,70.1,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20611,32:58.0,70.1,GUFEW040,Daudpur,26.740212,83.374497,Nala
20610,17:58.0,70.11,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20610,17:58.0,70.11,GUFEW040,Daudpur,26.740212,83.374497,Nala
20609,02:58.0,70.18,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20609,02:58.0,70.18,GUFEW040,Daudpur,26.740212,83.374497,Nala
