Id,StationId,LocationId,TimeStamp,MobileNumber,Battery,RainHourly,RainDaily,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag
461,GUFEW112,19,2024-10-28 12:45:00.0000000,,13.10,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
464,GUFEW111,18,2024-10-28 13:00:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
465,GUFEW112,19,2024-10-28 13:00:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
466,GUFEW111,18,2024-10-28 13:15:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
467,GUFEW112,19,2024-10-28 13:15:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
470,GUFEW112,19,2024-10-28 13:15:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
471,GUFEW112,19,2024-10-28 13:30:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
468,GUFEW112,19,2024-10-28 13:30:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
469,GUFEW111,18,2024-10-28 13:30:00.0000000," 9876543210",12.60,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
472,GUFEW111,18,2024-10-28 13:45:00.0000000," 9876543210",12.60,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
473,GUFEW112,19,2024-10-28 13:45:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
474,GUFEW111,18,2024-10-28 14:00:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
475,GUFEW112,19,2024-10-28 14:00:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
476,GUFEW111,18,2024-10-28 14:15:00.0000000," 9876543210",12.60,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
477,GUFEW112,19,2024-10-28 14:15:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
478,GUFEW112,19,2024-10-28 14:30:00.0000000,,13.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
479,GUFEW111,18,2024-10-28 14:30:00.0000000," 9876543210",12.60,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
480,GUFEW111,18,2024-10-28 14:45:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
481,GUFEW112,19,2024-10-28 14:45:00.0000000,,13.00,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
482,GUFEW111,18,2024-10-28 15:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
483,GUFEW112,19,2024-10-28 15:00:00.0000000,,13.00,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
484,GUFEW111,18,2024-10-28 15:15:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
486,GUFEW112,19,2024-10-28 15:15:00.0000000,,12.90,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
487,GUFEW112,19,2024-10-28 15:30:00.0000000,,12.70,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
485,GUFEW111,18,2024-10-28 15:30:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
488,GUFEW111,18,2024-10-28 15:45:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
490,GUFEW112,19,2024-10-28 15:45:00.0000000,,12.70,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
491,GUFEW112,19,2024-10-28 16:00:00.0000000,,12.60,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
489,GUFEW111,18,2024-10-28 16:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
492,GUFEW112,19,2024-10-28 16:15:00.0000000,,12.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
493,GUFEW111,18,2024-10-28 16:15:00.0000000," 9876543210",12.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
494,GUFEW111,18,2024-10-28 16:30:00.0000000," 9876543210",12.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
495,GUFEW112,19,2024-10-28 16:30:00.0000000,,12.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
496,GUFEW111,18,2024-10-28 16:45:00.0000000," 9876543210",12.10,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
497,GUFEW112,19,2024-10-28 16:45:00.0000000,,12.00,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
498,GUFEW112,19,2024-10-28 17:00:00.0000000,,11.90,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
501,GUFEW111,18,2024-10-28 17:00:00.0000000," 9876543210",11.90,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
502,GUFEW111,18,2024-10-28 17:15:00.0000000," 9876543210",11.80,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
499,GUFEW112,19,2024-10-28 17:15:00.0000000,,11.90,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
500,GUFEW112,19,2024-10-28 17:30:00.0000000,,11.80,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
503,GUFEW111,18,2024-10-28 17:30:00.0000000," 9876543210",11.70,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
504,GUFEW111,18,2024-10-28 17:45:00.0000000," 9876543210",11.70,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
505,GUFEW112,19,2024-10-28 17:45:00.0000000,,11.60,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
506,GUFEW111,18,2024-10-28 18:00:00.0000000," 9876543210",11.60,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
507,GUFEW112,19,2024-10-28 18:00:00.0000000,,11.60,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
508,GUFEW111,18,2024-10-28 18:15:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
510,GUFEW112,19,2024-10-28 18:15:00.0000000,,11.60,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
511,GUFEW112,19,2024-10-28 18:30:00.0000000,,11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
509,GUFEW111,18,2024-10-28 18:30:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
512,GUFEW111,18,2024-10-28 18:45:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
513,GUFEW112,19,2024-10-28 18:45:00.0000000,,11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2045,GUFEW112,19,2024-10-29 01:00:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
4028,GUFEW111,18,2024-10-29 16:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 16:09:33.000,1,0,0,NULL,1
5002,GUFEW111,18,2024-10-29 16:45:00.0000000," 9876543210",12.10,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5005,GUFEW112,19,2024-10-29 16:45:00.0000000,,11.90,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5006,GUFEW112,19,2024-10-29 17:00:00.0000000,,11.90,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5003,GUFEW111,18,2024-10-29 17:00:00.0000000," 9876543210",11.90,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5004,GUFEW111,18,2024-10-29 17:15:00.0000000," 9876543210",11.70,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5007,GUFEW112,19,2024-10-29 17:15:00.0000000,,11.80,0.00,0.00,2024-10-29 17:44:33.000,1,0,0,NULL,1
5018,GUFEW111,18,2024-10-29 18:45:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 18:59:32.000,1,0,0,NULL,1
