clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,34.3,0,0,53.4,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55959
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,34.1,0,0,56.2,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55967
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,33.2,0,0,58.9,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55982
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,32.8,0,0,59.9,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55993
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,33.8,0,0,54.6,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55997
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,33.7,0,324,53.6,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56004
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,34.3,0,0,50.2,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56006
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,33.3,1,244,57.1,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56011
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,34.3,0,0,49.6,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56013
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,34.8,0,0,51.9,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56017
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,33.6,0,0,55.1,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56021
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,33,0,0,56.5,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56029
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,33.2,0,0,56.5,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56039
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,33,0,0,59.7,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56047
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,33.6,0,0,55.4,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56062
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,33.3,0,0,57.4,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56073
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,34,0,0,54.1,10/29/2024 15:00,10/29/2024 15:27,1,0,0,NULL,1,56077
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,33.7,0,223,54.1,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56084
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,33.9,0,0,51.3,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56086
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,34.7,0,0,52.8,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56091
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,33.7,0,0,50.9,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56093
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,33.2,2,281,58.6,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56098
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,33,0,0,58.9,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56099
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,32.8,0,0,56.9,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56108
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,33.5,0,0,57,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56118
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,32.8,0,0,59.7,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56126
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,33.1,0,0,59.8,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56141
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,33.4,0,0,58.9,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56152
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,33.6,0,0,54.1,10/29/2024 15:30,10/29/2024 15:57,1,0,0,NULL,1,56156
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,32.8,0,0,59,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56166
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,32.3,0,0,62.2,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56174
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,32.8,0,0,60.9,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56189
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,32.9,0,0,60.4,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56200
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,32.8,0,0,57.3,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56204
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,32.7,0,304,56,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56210
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,33.7,0,0,51.3,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56212
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,34.3,0,0,53.3,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56217
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,32.9,0,0,53.4,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56221
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,32.3,1,250,57.6,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56226
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,32.6,0,0,60.3,10/29/2024 16:00,10/29/2024 16:27,1,0,0,NULL,1,56227
